frame	text	confidence	time
0	None	None	0
5	None	None	200
10	None	None	400
15	None	None	600
20	None	None	800
25	None	None	1000
30	None	None	1200
35	None	None	1400
40	None	None	1600
45	None	None	1800
50	None	None	2000
55	None	None	2200
60	None	None	2400
65	None	None	2600
70	None	None	2800
75	None	None	3000
80	None	None	3200
85	None	None	3400
90	None	None	3600
95	None	None	3800
100	None	None	4000
105	None	None	4200
110	None	None	4400
115	None	None	4600
120	None	None	4800
125	None	None	5000
130	None	None	5200
135	None	None	5400
140	None	None	5600
145	None	None	5800
150	None	None	6000
155	None	None	6200
160	None	None	6400
165	None	None	6600
170	None	None	6800
175	None	None	7000
180	None	None	7200
185	None	None	7400
190	None	None	7600
195	None	None	7800
200	None	None	8000
205	None	None	8200
210	None	None	8400
215	None	None	8600
220	None	None	8800
225	None	None	9000
230	None	None	9200
235	None	None	9400
240	None	None	9600
245	你先把卖身契还我吧	1.0	9800
250	你先把卖身契还我吧	1.0	10000
255	你先把卖身契还我吧	1.0	10200
260	你先把卖身契还我吧	1.0	10400
265	你先把卖身契还我吧	1.0	10600
270	你先把卖身契还我吧	1.0	10800
275	你先把卖身契还我吧	1.0	11000
280	你先把卖身契还我吧	1.0	11200
285	你先把卖身契还我吧	1.0	11400
290	你先把卖身契还我吧	1.0	11600
295	你先把卖身契还我吧	1.0	11800
300	你先把卖身契还我吧	1.0	12000
305	你先把卖身契还我吧	1.0	12200
310	你先把卖身契还我吧	1.0	12400
315	你先把卖身契还我吧	1.0	12600
320	None	None	12800
325	None	None	13000
330	None	None	13200
335	None	None	13400
340	None	None	13600
345	None	None	13800
350	None	None	14000
355	None	None	14200
360	None	None	14400
365	你觉得我有那么慈祥吗	1.0	14600
370	你觉得我有那么慈祥吗	0.5	14800
375	你觉得我有那么慈祥吗	0.5	15000
380	你觉得我有那么慈祥吗	0.5	15200
385	你觉得我有那么慈祥吗	1.0	15400
390	你觉得我有那么慈祥吗	1.0	15600
395	你觉得我有那么慈祥吗	1.0	15800
400	None	None	16000
405	None	None	16200
410	None	None	16400
415	None	None	16600
420	那三两银子我不是早还你了吗	1.0	16800
425	那三两银子我不是早还你了吗	1.0	17000
430	那三两银子我不是早还你了吗	1.0	17200
435	那三两银子我不是早还你了吗	1.0	17400
440	那三两银子我不是早还你了吗	1.0	17600
445	那三两银子我不是早还你了吗	1.0	17800
450	那三两银子我不是早还你了吗	0.5	18000
455	那三两银子我不是早还你了吗	1.0	18200
460	那三两银子我不是早还你了吗	1.0	18400
465	那三两银子我不是早还你了吗	1.0	18600
470	None	None	18800
475	None	None	19000
480	None	None	19200
485	本钱是还了利息呢	0.30000001192092896	19400
490	本钱是还了 利息呢	0.5	19600
495	本钱是还了 利息呢	0.5	19800
500	本钱是还了 利息呢	0.5	20000
505	本钱是还了 利息呢	0.5	20200
510	本钱是还了 利息呢	0.5	20400
515	本钱是还了 利息呢	0.5	20600
520	本钱是还了 利息呢	0.5	20800
525	None	None	21000
530	None	None	21200
535	利息 你啥时候说有利息了	0.5	21400
540	利息 你啥时候说有利息了	0.5	21600
545	利息 你啥时候说有利息了	0.5	21800
550	利息 你啥时候说有利息了	0.5	22000
555	利息 你啥时候说有利息了	0.5	22200
560	利息 你啥时候说有利息了	0.5	22400
565	利息 你啥时候说有利息了	0.5	22600
570	利息 你啥时候说有利息了	0.5	22800
575	利息 你啥时候说有利息了	0.5	23000
580	利息 你啥时候说有利息了	0.5	23200
585	None	None	23400
590	现在呀	0.5	23600
595	现在呀	1.0	23800
600	None	None	24000
605	None	None	24200
610	None	None	24400
615	None	None	24600
620	None	None	24800
625	根要卖身契就好好干活儿	0.5	25000
630	根要卖身契就好好干活儿	0.5	25200
635	想要卖身契就好好干活儿	1.0	25400
640	根要卖身契就好好干活儿	1.0	25600
645	想要卖身契就好好干活儿	1.0	25800
650	根要卖身契就好好干活儿	1.0	26000
655	根要卖身契就好好干活儿	0.5	26200
660	想要卖身契就好好干活儿	0.5	26400
665	想要卖身契就好好干活儿.	0.5	26600
670	None	None	26800
675	None	None	27000
680	None	None	27200
685	表现好了 我可以考虑	0.5	27400
690	表现好了 我可以考虑	0.5	27600
695	表现好了 我可以考虑	0.5	27800
700	表现好了 我可以考虑	0.5	28000
705	表现好了 我可以考虑	0.5	28200
710	表现好了 我可以考虑	0.5	28400
715	表现好了 我可以考虑	0.5	28600
720	None	None	28800
725	None	None	29000
730	None	None	29200
735	None	None	29400
740	我啥时候表现不好了	1.0	29600
745	我啥时候表现不好了	1.0	29800
750	我啥时候表现不好了	1.0	30000
755	我啥时候表现不好了	1.0	30200
760	我啥时候表现不好了	1.0	30400
765	我啥时候表现不好了	1.0	30600
770	None	None	30800
775	None	None	31000
780	None	None	31200
785	None	None	31400
790	自打蕙兰来了之后	1.0	31600
795	自打蕙兰来了之后	0.5	31800
800	自打蕙兰来了之后	0.5	32000
805	自打蕙兰来了之后	1.0	32200
810	自打蕙兰来了之后	0.5	32400
815	自打蕙兰来了之后	1.0	32600
820	None	None	32800
825	你就没有做过一顿像样的饭吧	1.0	33000
830	你就没有做过一顿像样的饭吧	1.0	33200
835	你就没有做过一顿像样的饭吧	1.0	33400
840	你就没有做过一顿像样的饭吧	1.0	33600
845	你就没有做过一顿像样的饭吧	1.0	33800
850	你就没有做过一顿像样的饭吧	1.0	34000
855	你就没有做过一顿像样的饭吧	1.0	34200
860	None	None	34400
865	None	None	34600
870	None	None	34800
875	None	None	35000
880	None	None	35200
885	None	None	35400
890	我现在不正调整呢吗	1.0	35600
895	我现在不正调整呢吗	1.0	35800
900	我现在不正调整呢吗	1.0	36000
905	我现在不正调整呢吗	1.0	36200
910	我现在不正调整呢吗	1.0	36400
915	我现在不正调整呢吗	1.0	36600
920	我现在不正调整呢吗	1.0	36800
925	None	None	37000
930	None	None	37200
935	None	None	37400
940	那就慢慢调 调好了我就还给你	0.5	37600
945	那就慢慢调 调好了我就还给你	0.5	37800
950	那就慢慢调 调好了我就还给你	0.5	38000
955	那就慢慢调 调好了我就还给你	0.5	38200
960	那就慢慢调 调好了我就还给你	0.5	38400
965	那就慢慢调 调好了我就还给你	0.5	38600
970	那就慢慢调 调好了我就还给你	0.5	38800
975	那就慢慢调 调好了我就还给你	0.5	39000
980	那就慢慢调 调好了我就还给你	0.5	39200
985	那就慢慢调 调好了我就还给你	0.5	39400
990	那就慢慢调 调好了我就还给你	0.5	39600
995	那就慢慢调 调好了我就还给你	1.0	39800
1000	那就慢慢调 调好了我就还给你	1.0	40000
1005	那就慢慢调 调好了我就还给你	0.5	40200
1010	None	None	40400
1015	None	None	40600
1020	但是有一个人抱怨	1.0	40800
1025	但是有一个人抱怨	1.0	41000
1030	但是有一个人抱怨	1.0	41200
1035	但是有一个人抱怨	1.0	41400
1040	但是有一个人抱怨	1.0	41600
1045	None	None	41800
1050	你就不要根拿回去	0.5	42000
1055	你就不要想拿回去	1.0	42200
